1_sample_id	2_sample_id	div1	div2	div12	div21	count1	count2	count12	count21	freq1	freq2	freq12	freq21	R	Rs	D	F	F2	vJSD	vjJSD	vj2JSD	sJSD	Jaccard	MorisitaHorn	1_metadata_blank	2_metadata_blank
col_ccp5_PBMC_bulk_1_1_1_top72.clonotypes.IGHG	col_ccp5_PBMC_bulk_1_1_2_top72.clonotypes.IGHG	72	72	11	11	3203	3684	523	754	1.0	1.0000000000000002	0.163284420855448	0.20466883821932685	0.21362533472672218	0.17351598173515986	0.0021219136	0.18280927962168705	0.17807348787794797	0.21599843695655208	0.1137450641757815	0.3637530790580668	0.09555304327432097	0.0827067669	0.860900389381371	.	.
col_ccp5_PBMC_bulk_1_1_1_top72.clonotypes.IGHG	col_ccp5_tum_bulk_1_2_1_top72.clonotypes.IGHG	72	72	0	0	3203	3278	0	0	1.0	0.9999999999999993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3740369390985374	0.19313211297940394	0.6255392265777079	0.19771760699365384	0.0	NaN	.	.
col_ccp5_PBMC_bulk_1_1_1_top72.clonotypes.IGHG	col_ccp5_tum_bulk_1_2_2_top72.clonotypes.IGHG	72	72	1	1	3203	2366	62	11	1.0	1.0000000000000002	0.01935685295035904	0.004649196956889264	0.0	0.0	1.929012E-4	0.009486507356860175	0.009486507356860175	0.3467981582106713	0.17852998756139823	0.6597126695682317	0.17596014931950651	0.006993007	0.4541669876995741	.	.
col_ccp5_PBMC_bulk_1_1_1_top72.clonotypes.IGHG	col_ccp5_tum_bulk_1_4_1_top72.clonotypes.IGHG	72	72	0	0	3203	1650	0	0	1.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33876409613585573	0.18996827360228544	0.609682554816893	0.08343152374012061	0.0	NaN	.	.
col_ccp5_PBMC_bulk_1_1_1_top72.clonotypes.IGHG	col_ccp5_tum_bulk_1_4_2_top72.clonotypes.IGHG	72	72	0	0	3203	1329	0	0	1.0	1.0000000000000007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32639854245245314	0.17784619565436546	0.48123277312126245	0.10433471260850109	0.0	NaN	.	.
col_ccp5_PBMC_bulk_1_1_1_top72.clonotypes.IGHG	col_ccp5_tum_bulk_1_5_1_top72.clonotypes.IGHG	72	72	0	0	3203	926	0	0	1.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41026705273841224	0.22675778338825942	0.618730082435692	0.19347718262674254	0.0	NaN	.	.
col_ccp5_PBMC_bulk_1_1_1_top72.clonotypes.IGHG	col_ccp5_tum_bulk_1_5_2_top72.clonotypes.IGHG	72	72	0	0	3203	1355	0	0	1.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41275214931391013	0.22663583381244426	0.6458434567108366	0.2052786469656871	0.0	NaN	.	.
col_ccp5_PBMC_bulk_1_1_2_top72.clonotypes.IGHG	col_ccp5_tum_bulk_1_2_1_top72.clonotypes.IGHG	72	72	0	0	3684	3278	0	0	1.0000000000000002	0.9999999999999993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.430494639086223	0.21934395886642397	0.667224050470235	0.19185322131606264	0.0	NaN	.	.
col_ccp5_PBMC_bulk_1_1_2_top72.clonotypes.IGHG	col_ccp5_tum_bulk_1_2_2_top72.clonotypes.IGHG	72	72	1	1	3684	2366	76	11	1.0000000000000002	1.0000000000000002	0.02062975027144408	0.004649196956889264	0.0	0.0	1.929012E-4	0.009793455579282693	0.009793455579282693	0.4192285143746284	0.21376844599143363	0.7124764408575479	0.16567984347831535	0.006993007	0.4289419628561522	.	.
col_ccp5_PBMC_bulk_1_1_2_top72.clonotypes.IGHG	col_ccp5_tum_bulk_1_4_1_top72.clonotypes.IGHG	72	72	0	0	3684	1650	0	0	1.0000000000000002	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4378617864772429	0.2290804109879427	0.6993832398349557	0.08545239163730409	0.0	NaN	.	.
col_ccp5_PBMC_bulk_1_1_2_top72.clonotypes.IGHG	col_ccp5_tum_bulk_1_4_2_top72.clonotypes.IGHG	72	72	1	1	3684	1329	33	6	1.0000000000000002	1.0000000000000007	0.008957654723127036	0.004514672686230248	0.0	0.0	1.929012E-4	0.006359314358575381	0.006359314358575381	0.2963229703975793	0.16154259480004468	0.5178279688655651	0.08374596546149708	0.006993007	0.8038190527154802	.	.
